468475161,You and I 【灿白1126四周年纪念】
440208476,That Girl
483156032,Believer (Kaskade Remix)
28240138,答案
29709795,虹之间
426291544,Send It 
497400537,爱的魔法（Cover 金沙）
506092035,The Spectre
34749984,Hold On (Radio Edit)
467595978,5D唯美环绕纯电 
536502758,离人愁
4873065,月光
445844400,For Love (Radio Edit)
436147067,Champagne Ocean
25639007,爱的回归线
455653437,Skin
522353195,PopLove 6  (Mashup Of 2017)
488876810,Welcome to New York (Big Apple Version)
460542191,一腔诗意喂了狗
513357140,Heartbeat (Nightcore) [PØRPEL Remix]
518816878,Legends Never Die（By Cool大魔王丶）
509728841,Moshi Moshi
463895473,狂浪生
501220770,Wannabe (Spice Girls Cover)
526464293,空空如也 
27969800,Soldier
543607345,BINGBIAN病变 (女声版)
191248,明天过后
108390,说谎
455812792,【中日双语】幻化成风（Cover 梁静茹／过亚弥乃）
507024530,Fefe Dobson - Stuttering(M.A.M&Bramwell Bootleg)（Mars Basement / Bramwell / 冯提莫 remix）
434902408,欧若拉（Cover 张韶涵）
487190408,识食物者为俊杰
524152797,再见前任
315061,与你最后的夏天
28018075,你就不要想起我
32408263,最后的旅行——记《龙族》
39635809,千人千面（登录）
29004400,烟火里的尘埃
26429346,We Can't Stop
539941039,佛系少女
472045959,The Cure
21803760,50 Ways to Say Goodbye
37653063,Please Don't Go
27901223,克罗地亚第二狂想曲
33367876,克罗地亚狂想曲(Cali Remix)
515143305,9420
1518938,As Long As You Love Me
34144942,Gasoline
381433,爱河
470772280,【23砖家】听说你长得帅还被拒绝啦（Cover cut in love-July）
35270898,少林英雄
450795499,なんでもないや 没什么大不了的（Cover：Radwimps）
108384,恋曲1990(Live) - live
455358996,豆花之歌（Cover 仙后）
531295576,最美的期待
452986458,红昭愿
132975,爱的就是你
483671599,追光者
465920905,全部都是你
446177874,妈是心中的茉莉花
409647737,Like I Would (Tom Budin Remix)
526307800,123我爱你
440208643,Psycho (Pt. 2)
493784861,走心小卖家
406907311,다시 너를
521780143,繁华之处
2081057,My Love(Radio Edit)
29713754,匆匆那年
418326072,酱油女官-橙光《酱油女官》主题曲
34528695,Pop Danthology 2014
19542383,Hall of Fame
407761576,儿时
28832241,Superheroes
444269135,Alone
17783969,Stuttering
25702070,玛卡瑞纳
16714264,If You Feel My Love (Chaow Mix)
33469593,温柔乡
16532462,Jocelin
376971,樱花草
28613576,Bila
440310367,Driving Home for Christmas
494300869,消愁（Cover 毛不易）
420008229,殿书
420401986,忆江南
437755663,大浪淘沙
464311099,Shape of you（Cover：Ed Sheeran）
35847559,Sorry
36586466,Purpose
18078228,Hollaback Girl - Album Version (Explicit)
354455,流星雨
482903262,Curiosity（Cover Carly Rae Jepsen）
28009051,没有理想的人不伤心
476249281,ECHO（Cover GUMI）
449671692,明月天涯（Cover 五音Jw）
28248872,Counting Stars
2772113,I wanted you
167937,断桥残雪
28282082,Whistle
213737,Love Paradise
436633018,Sing Me to Sleep
31152570,Maps
167802,旅行
167870,如果当时
167850,庐州月
28660525,画师
28918001,Shade of You
165347,风度
446945324,清明上河图
4875084,恶作剧
28577876,Pop Danthology 2012
427606738,【薛晓/晓薛】归途 - 《锁麟囊》延伸曲
36199725,逝去的歌
1345018,Remember The Name
1297650,Love the Way You Lie (Clean)
27646851,Best Day Of My Life
26548584,Happy
376312,在他乡
422104315,小幸运(Cover 田馥甄)
28852668,Boom Clap
254285,下个，路口，见
436514415,Vacation
436514221,The Ocean
405226741,Down
35845278,Cake by the Ocean
4164317,Rising Girl (Radio Version)
29009655,East of Eden
25964510,Oceans Deep
108485,Always Online
186683,流星
34229234,i hate u i love u
2872271,So:Lo
4875075,遇到
34578307,Backstreet Boys Medley  
28188171,Look At Me Now
2529311,Walk Away - Album Version
28643004,Miss You Tonight
26069686,We Are Young
4154790,Need You Now
28859948,Turnin'
208902,红色高跟鞋
108251,当你
123268,别在我离开之前离开
406475394,Wonderful U (Demo Version)
16959121,Insomnia
29771231,我们的明天
28892111,以后别做朋友
27902536,我们好像在哪见过
21253966,Moves Like Jagger
1217823,B What U Wanna B
1600454,Wild Wild Web
17075871,Ein kleines Lied (Around The World)
29722263,Uptown Funk
28234970,想把我唱给你听
26090155,送别
191819,当你孤单你会想起谁
276035,爱一点
202369,画
5253801,Free Loop
439122550,愿长夜里有人陪你说话
27867140,房间
247491,爱的魔法
17177324,Yellow
38592976,Dream It Possible
439915614,刚好遇见你
34723470,东京不太热
22463223,Better Man
1231775,Teenage Life
186513,私奔
29343277,爱简单
25731320,男孩别哭
31445772,理想三旬
122738,摩天轮 晚安
114024,月半小夜曲
32639505,年少有你
37092868,请跟我联络 
29418632,Color Blind
2058540,Circles
31445554,七月上
27747330,被驯服的象
1491585,Traveling Light
1591910,2 Soon
33937527,PneumaticTokyo
29534449,Unity
33211676,Hello
410042104,We Don't Talk Anymore（Cover Charlie Puth&Selena Gomez）
404784564,林中鸟
28111601,Hate That I Love You
25706285,"再见,再见"
19567986,Glad You Came
420397361,卡农（铃声版）
306664,身骑白马
411988616,苹果6铃声小黄人
28308080,Me and My Broken Heart
35847037,多幸运
405343998,Faded（LaRry Rong Remix）
32192436,绅士
432506345,童话镇
419250051,IF You & Faded Remix（Cover BIGBANG & Alan Walker）
25706279,一万次悲伤
22839300,삐리빠빠
436514312,成都
430208595,Dancing King
202373,南方姑娘
